id_usuario,nome_usuario,id_avaliacao,id_produto,classif_do_produto,quartil_classif_do_produto,qtd_votos,quartil_votos,resumo_avaliacao,avaliacao_completa,imagem_produto,link_produto
AGHT3K4KSG5MAQUSXRDT5VNB73GAAE4Q5XQ7SZW35EEUJKQ3IV2IIBQQ,Manidipa SenguptaVidisha,R1OO2ED6615EX1RR4S5JTJMCPA5,B0BPJBTB3F,2,1,2,1,Bad qualityAmazing product,The heating capacity is zero Moreover i have initiated return request Noone has come to collect itBest heater at this price Quality is very good  Suggest everyone to purchase this heater amazing product to buy,Ausente,Ausente
AH7NTBDGAMGOFFADEVWJL3O4YQ2AAEJUIUF6CYKRBWLSOPWPE7KMC3RAAF45WMWXMOPN3ELUJ2H2N63JWKGAAH6MPOEE6ICQG3RBULF7TOQVMMEAAH7QLQDC5BMOKDDRGGWSEP3AQ6IQAEIXFEXXMTDJNPWUMOIEA34ZLC7QAEQV4U4ZGMGZOWC4RQSUQZGHYSHAAG7DCRRGNMM7FSENOSNAQTVYBHPQ,Jarlina NathSonaRanjit HarchekarMyneni SuneetaprithviSrinivasupenderIshita Bhadana,R1S2PH1JD9B9XBR3UUKCS12Q0B9XR16YH8SVJU5W61R32XCAYQRNE0Q3R1FQD9T17LXHLFR17H2I7PYTIEIARWEPEYF95XCK9R14CFFXT17UAJI,B09F6D21BY,3,1,103,1,Not goodNo voice recognition No pointer ray as in original LG remote These features are not includedBest productNot working properlyDoesnt work dont buyIt doesnt have pointerNot working properlyJust perfect,The mouse feature of the remote is not workingRemote control with push button seems to be ok but no voice recognition and no ray pointer as in the original LG productwould like a refund for misrepresentation on the websiteyou have amended the description after my complaintBest productNumber buttons are not workingDefective product it is not working with the tvDislike the product as it doesnt have pointer optionNot working properlyBest option to buy since its hard to get replacement of OLED tv remote,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/315sEpeo50L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Compatible-Suitable-Control-Non-Support-Netflix/dp/B09F6D21BY/ref=sr_1_344?qid=1672909141&s=electronics&sr=1-344
AELHZH2PRVKJIVTQMABOTT6LUMBQAGNBNAIVJCEB3TBMEUWKDG6F3OAAAEEJ6B3XBCPD2CHBKEWXRNHXM5EAAFVUY5ZKTN2NRRFDXM6M6IOW6YXQAFX3VLIHVKXRNRC2HBLSBNEIV2LQAEQABAS4A3RXJ6CM4EX2645IUCEAAH3SJ6WSYDG6DYJVQ7UYWAACHFMAAFDFDVVB5IXZZBCIHG3VJVK3E3CQ,RitikaABHISHEK UBhavikaRekha ranaBalamurugan ADhiren ShahMrs Imran khanAnusree,R24VRMVVKTZXZUR2SZR29UV8HPIJR34NPCR94RTTCUREPOE3PIM6ZRNR2RF6XPVSOG2R2RHE4AF3VC0YGRQ8DJGRM0OVUAR2AX7J603OWTJ3,B08YK7BBD2,3,1,617,1,Not worth the hypeGudReally useful Product is good but when we press to seal lower part of sealer is get out automaticallyOk product Not generating enough heat to packNot up to the markPocket friendly effective and easy to useAverage,Hi viewers so I bought this product after watching the endless hauls of amazonfinds As much as I was excited for the use of the product it did not prove to be as useful The sealing side does not heat enough for a packet to be sealed well The cutter side works fine But mostly the heating side has to be pressed upon so hard that the cell case opens up as it slides with the pressure of the thumb so I feel we can totally work without this product in our house Its definitely stylish comes with a Manual Cells and a Hook to hang it but the slipping cell cover fails my convinience with itGudEasy to use worth the moneyWhen we press to seal lower part get open automaticallyNot heating enamous power to heat and pack the plastic coverQuality of the product is not good The hold and press part for heating and sealing is not consistent Sometimes it seals sometimes it burns the plastic Also the seal comes off of right pressure is applied so it is not reliable tooThe sealer quality is too good and its sealing well The only thing is you hv to press it hard while sealingtakes only few seconds to seal an entire packet  Good when you are travelling with a toddler and carrying lots of snack packets Pocket friendly and cuteAverage working,Ausente,Ausente
AE7CFHY23VAJT2FI4NZKKP6GS2UQ,Pranav,RUB7U91HVZ30,B0B94JPY2N,3,1,0,1,The cable works but is not 65W as advertised,I have a pd supported car charger and I bought solimo cables previously which work perfectly fine but this one doesnt trigger full 3A fast charging unlike solimo usb a to usb c which is strange because this is supposed to be a 65W charger with 4A fast charging supportAnyways its a good built product and works but not as expected It might be compatible with your chargers but I tested 2 different car chargers and both didnt go full speed,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Vpx5MVtaL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Amazon-Brand-Charging-Suitable-Supported/dp/B0B94JPY2N/ref=sr_1_444?qid=1672909146&s=electronics&sr=1-444
AFEMYJODFSKRPR4XTYKCPXMCO4YAAH7PGDCSET6C5NOBBY2TLG2GX3IAAEU243XCV5FGTBUI3KKCC5BGXH6QAFIQV62SLZITCC4FDVBUSBXBBIEAAEHSXJA4C4V3JQWZMSE6FTILXNXQAEOODTBGBG2EUG3TEFGVON7V5NLAAGMO4AMM5IA4MMUHGAXVMUHY37LQAHUIRRUDX4AQRQM4N7WNVLAJLSPQ,Gourav ChoudhraniMustak aliAmitPankaj solankiyemcee1954Shekh ismailMuktaPenchalbabu,RGEDIZCX7LB34R19GGFEAAXAUKKR3L3EFRRM8X2IYREN3MEL7IYDKTR2H176Z5380NWJR1AFCXRUZ8KCCKR16381PP969JBPRFDKRGYGQB7U6,B0B82YGCF6,3,1,681,1,Its is good but battery life is very poorHeart rate sanser and battery backupNice productGood product within small price rangepoorCool productGets disconnected  time n data doesnt updates automaticallyIts good deal at 849 works fine for first few days,Its is value for moneyGood productGood likedcharging lasts short time charging with straps impossible very poor working not worth the money paidIts tiny specially can be look great on tiny wrist look is also nice but internal feature is some down it must be upgratedAuto data collection n update not there  Gets disconnected all time Hard to connect Doesnt get update automatically with time n day  Today is 12 dec Monday n its still showing 10 dec Saturday Had to update time everytimeIt works fine for first five days even it is cheaper it should be worth of the money And now two months works good,https://m.media-amazon.com/images/I/31M4nb0+JKL._SY300_SX300_.jpg,https://www.amazon.in/Tokdis-MX-1-Bluetooth-Calling-Smartwatch/dp/B0B82YGCF6/ref=sr_1_370?qid=1672895857&s=electronics&sr=1-370
AF3KXMJ35ELNULRGLJMSPONWTBLQAF2GY2M5UI7P6K2JHL5C6NOTQ6MAAHHPP7KV72ZCVMFDBEPBQE7KXFKAAE36KAI4PDY27JY3SBFA62OR6TFQAFXXE66PDZJEYLRJFXBVKDQX5WAQAH374DUL3BPYKQGLTWIP5UXDB4CAAEOF5PFDHSQRCVD4E4PHG7ZQDHXAAGX2PGENWLBTPLJJRL6EC4QZ6UBA,Wasim MullaPrItHvI KrIsHChandra Shekar N SDevi sree Prasadmrudulavijay kSanjeetaAnu,R2RS5DJTMPR9KHR3K8N1Z38YX4QZR1D0W9ZGHTA55SR1OPHG3293Q2SZR27TICJZP0IJZTRU7Q1JVSNZAP7R16Y48G8PM36BLRB5E6IQ420JLF,B097JVLW3L,"3,5",1,621,1,Really great device love using itSuperbGoodGood productGood product nice to have itGood VR set at this price rangeAmazing product Dont buy,The product is over all good jus the headphone adjustment gets stuck hence not that great sound bt its good thouVery nice product Overall experienceGood product can buy for timepass who interested in movies much lovingGood VR headset Nice picture quality Best when viewed with exclusive VR Apps Picture compatibility was less with YouTube videos So better to go with good VR Apps available in playstore Overall a good productAmazing product to buy I ordered this product seeing the high cost with perception it must be worth of its price But the product is cheap Chinese plastic crap and definitely not a worth more than rs 500 at most  In the end its a cheap Chinese product sold in India at rs 2600 which is not even worth of more than rs 500 Better if you go for some other not very costly and simple vr set under max rs 1000 or either a expensive  vr set of very reputed makers if youre dire enthusiastAmazon services and customer support is exceptional and here i believe thats what make them on topCAUTION  this product has no refund policy It can only be replaced  So guys think deep before you buy,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31z9cuviPzL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Virtual-Reality-Headset-Headphones-Gaming/dp/B097JVLW3L/ref=sr_1_479?qid=1672909147&s=electronics&sr=1-479
AECQPIQJEIF5ASVCNW43FEDLAATQAEO2Q72MKWA5DPWBFQQ63ALQW7AQAEW2N6ZN62QQ5C5RXHU4TSK2EYRAAGLPUYATOE2KVD36DZ2VD4QAOZCQAFC5T42J2P6CMZQUXB4IVBEZSAFAAEAFK6ITOXRVS34MTPODTIE4UWLQAGNXO5MSN4KKBGSQR3YT26CYYBQAAGKMK57A4J54JG5OUHPMVGGPVUKQ,Amazon CustomerTamanna KP JanarthanRam SaiDeema KhuraanaShubuKAMAL KUMARGopinadhP,R2TD3N245ZRZKAR2I93780O12B86R3VTLQFO4KMHHCR1T0W8Y2RD3FQPRUL4CK8TAFSM6R10TVE5WRTUL6TR1CT7PUFT9SH87R119BACSU1D5W0,B0B72BSW7K,"3,5",1,690,1,Good as per priceGoodWorthy for PriceWorthUnstable on bed mattress  due to curved landing edgesRECOMMEND TO BUYQuality Wise Its Not Perfect But  Good As Compared to Market ProductsTotally is good ,Its light weight good looking Stability is moderate I got it for 399 I hope it the price to be less that i bought Overall Nice experience to have this beautiful tableIts a good product but ut has few marks on it which is not going away even after cleaning Its okay for me Overall Its good Also because my laptop is 156 display it takes up most of the spaceTable is of light weight and hope so its sturdy Finishing is good with cup and mobile holder will recommend this for kids writing purposeWorth for money Useful for the one who wants to sit straight without bending spinal For  WFH  perfectKeeps falling even at a slight pushtouch Unsafe to keep laptop But very GOOD product if your basefloor is plainBrought it for 399 rs look wise its fab very light weightbottle doesnt fits in slotreceived damaged at corner s connectors material is foam  due to it stability decrease Mobile stand is not adhered And packaging is worst no bubble paper no plastic wrapping presentIts ok okish product at this point of priceYou can buy coz in market you get this beyond 600 rsGood for  Students  laptop  workBut not enough strong to lift heavyweight items Stability is also wellProduct is good and quality of tablei like this,https://m.media-amazon.com/images/I/41EbxurQIDL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/SKE-Portable-Multifunction-Laptop-Table-Children/dp/B0B72BSW7K/ref=sr_1_9?qid=1672902995&s=computers&sr=1-9
AGNQUDW2ISLRVQVYA7AJNMFTZYAAAEFS33TZ32ZFCNHF4HLNUCSMZQMQAGTGQWRENDRGXQODOLIQNYKKMO5QAGNUSNVD4OAUBKA6B42FMU63Y2UAAG46GGA3GD2ZW4IRVXY2LKHWDC3AAFACTUMKAIA2A6TQX3URLEPJ462QAELY7GVE32GK5NPFRFV3R3256BOAAGWU5ZFZCOMADUNNZLTRCGXDUXSQ,Rakesh ReddyGururaj KulkarniNeetirajViswa  Kiran KathiVijay Kumar SainiBeena Rawathvishal goelReema Borborah,RDCJBFGUBZWFJR3F0Y39XWNLO8ZR38S8FL4YF9JD0R1MCQ2MLQ7C4DURMVTEJJSA64Y1R35XHV3UC3PEXZR2MQ9H1NKP4BDOR2HOVLX6WT4I6J,B07V5YF4ND,"3,5",1,466,1,Good productSwitchesRemote is workingCenter main button is very weak not working wellPunctuality Delivered in time ExcellentRemoteSony Tv RemoteIt works,Good compatible productLikeRemote is working nicely just the up button and down button is working a little slow else is fineThis button is very softOriginality Used as remote controlThe buttons are very hardBest Remote u can getNo syncing needed just put batteries in and use it,https://m.media-amazon.com/images/I/4173mQ7F-mL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/LOHAYA-Remote-Compatible-Smart-Control/dp/B07V5YF4ND/ref=sr_1_255?qid=1672909136&s=electronics&sr=1-255
AH3PBQI6DTRU4WDPCYH47DK2JQ7QAHO4SAT62OYFF6SLBDKX6EPDVPAAAF7GOEYE5GJO744YPMKRF75AERWAAF333KSWESUJI6F56KHX6T6PKBIAAERMLOT7BN7ZXYSFU5IF3C6RJWFQAFWQG4DPBS3OFVH2BCUERQSOSEBQAFHSGIPKQQMN6CAZL6LCCBHOXJ7QAF3XSVAYCEHUJFKDS6H5ES4FYDFQ,ANUSAYA KARSathishSohrab RajpraveenSandip GhoshAshutosh SuryavanshiBhupeshHardik,RVRVEXC4LY123R1T78WUQICUVWRR1DOXKQXS4PKV4RVUE4MKJEQRHTR19TF5TUY71HKHR37SY71K0T1BJNR2S5BGMA1NFQKXR1YLUKFUNEFOS8,B0BGSV43WY,"3,5",1,37,1,Tap to wake up issueSuch a amazing watchuse full gesturesGreat but hand wash screen off problemRestart problemNice Product Go for itSuper Smooth ExperienceDont buy Keeps restarting everytime a call arrivesHighly recommended,Sometimes tap to wake up screen work Little bit lag in touch screenhttpsmmediaamazoncomimagesI81raP1KgBrLSY88jpgNice productsBut hand wash screen off problemRestart problemAutomatic Restart problemFor the first time I purchased a smartwatch Seen many smartwatches for the last 34 months Seen many brands with price ranging from Rs 1999 to Rs 17999 This is very recently launchedProsQuite nice product Bought it for Rs 3799Amoled screen  enough brightnessNice featuresBT Call volume above averageSo far fully satisfiedMany features are yet to be explored by meCons Sometimes BT connection may get broken not very oftenMore I will write after few weeks,https://m.media-amazon.com/images/I/4123OnLZCFL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Noise-ColorFit-Bluetooth-instacharge-Functional/dp/B0BGSV43WY/ref=sr_1_172?qid=1672895799&s=electronics&sr=1-172
AGXLM7AXU7V4W4OQ3VSKDHE5D3JQAGLJPQA3EFCU25WU7YUBUQR7EVAAAHZNIOL2ID4R7NAEE4BOVV3TOTSQAEHQFXO3FHGOI47KAVTBR4CKSEGQAHXRHYRPN4MICARR3YECLYRGKMFQAFSQYEXGBU5QTKBRQV5367KAVECAAFROPZ2OZBGFDAOSLXX3RSLV6C5QAFSSX5G62IXDDJPIFOQ5CEG6R4VQ,bharathNaveen manikandanGarima KataryaSadum YeshwanthRaynold MathewNamrataSiva piduguConsumer,R2DHVCKWVHZBDLRQZRV02WQM827R2BSNORS4S8Y5OR29IBNM5TII6SZR38ON0Z6Q9J451R1R37QKX0HRTSR2YU28MLKMSTYHR29Q1VTK27KFLC,B09X5HD5T1,"3,5",1,185,1,Good productDecent productnice n powerful but delicateGood product Its a bit difficult to insert cellsWorked well for a monthExtremely usefulWaste productValue for money,Its good and easy to useThe product appears cheap but works alright As you might know from the product description there are speed settings Decent product for this price rangeIts very nice n poweful but needs proper care n cleanup after every use also u should keep changing batteries when u see the power low Been using it for years now however 1piece lasts for about a year if taken proper careThe compartment to insert cells should have been a little bigger It might break while trying to squeeze the cells inThis a useful product very easy to use and clean Looks very light but is of good quality  Froths milk efficiently a must buy if you like frothy coffee or milk Waste productdont buy this by its brand name or by its pricevery delicate productThis is certainly a great product Saves time as getting a froth in a conventional way you need to be very patient Nowadays everyone needs something quick This served my purpose Bought 2 extra that I am planning to gift Thank you,Ausente,Ausente
