id_produto,nome_produto,categoria,categoria_produtos,preco_com_desconto,quartil_preco_com_desconto,preco_atual,quartil_preco_atual,porcentagem_desconto,quartil_porcent_desconto,valor_desconto,quartil_valor_desconto,descricao_produto
B086PXQ2R4,Classmate Long Book  Unruled 160 Pages 314 mm x 194 mm  Pack Of 3,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesCompositionNotebooks,produtos de escritório,165,1,165,1,0,1,0,1,The cover design of the notebook is subject to change it depends on stock availabilityPack Of 3  Unruled Long Book 160Pages 314 mm x 194 mmNotebooks for every subject for hasslefree notetaking during classes or lecturesClassmate uses elemental chlorine free paper Made from quality paper and pulp the pages are whiter brighter and smootherThis notebook consists of quality papers
B08BQ947H3,LIRAMARK Webcam Cover Slide Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet Pack of 3,ComputersAccessoriesAccessoriesPeripheralsLaptopAccessoriesCameraPrivacyCovers,acessórios de computador,149,1,149,1,0,1,0,1,Cool Gadget Protection against possible video surveillance from hackers This webcam cover slide easily slides over your camera ensuring that it wont be used as a surveillance tool against youUltrathin Super thin design perfect curve edges and extra mini size which means it can be perfectly combine with your devices Webcam Cover is only 0027 inches thick and does not feel its existence when the laptop lid is closedUniversal Design Webcam Cover is compatible with most Laptop Computer Smartphones iPadiphone MacBook MacBook Pro Tablets PC PS4 and allinone desktops Many pieces package meet your all cameras needSuper Sturdy Adhesive Solid durable because the strong Nano gel provides durable and reliable connection between your devices and webcam cover Also the adhesive can be easily applied and removed from the device without any tracesEasy to Install Use a dry cloth to clean the surface of your devices webcam then remove the 3M adhesive tape from the back of the camera cover Slide align the lens and attach the protective cover to the lens and firmly press for 15 seconds to achieve a strong but nonpermanent seal
B08F47T4X5,VR 18 Pcs  3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large Medium Small Plastic Snack Seal Sealing Bag Clips Vacuum Sealer Set of 18 MultiColor Multicolor,HomeKitchenKitchenHomeAppliancesSmallKitchenAppliancesVacuumSealers,casa e cozinha,89,1,89,1,0,1,0,1,MULTIPURPOSE Can be used to seal all types of food bags and storages such as potato chips snack bags breads coffee bags and frozen food bags etcPerfect for tightly sealing and storing all types of foods and snacks so that the food stays fresh and tastier for longerSEAL THE DEAL  They are fast and easy to use and their grip is very strong so you can rely on these clips to keep your bags perfectly sealed with minimum effort Its always good to have these sealing clippers in your kitchenPRACTICABILITY Convenient durable and reusable The Seal clips provide more choices to meet your different needs Enjoy your fresh food for long time and keep a healthier lifestyleContent  18 Pieces 3 size x 6 Pcs each
B00KIE28X0,Camel Artist Acrylic Color Box  9ml Tubes 12 Shades,HomeKitchenCraftMaterialsPaintingMaterialsPaints,casa e cozinha,310,1,310,1,0,1,0,1,Set of 12 assorted Shades in 9 ml tubes
B086Q3QMFS,Classmate Drawing Book  Unruled 40 Pages 210 mm x 297 mm  Pack Of 4,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesCompositionNotebooks,produtos de escritório,120,1,120,1,0,1,0,1,The cover design of the notebook is subject to change it depends on stock availabilityPack Of 4  Unruled Drawing Book 40Pages 210 mm x 297 mmNotebooks for every subject for hasslefree notetaking during classes or lecturesClassmate uses elemental chlorine free paperThis notebook consists of quality papers
B07KCMR8D6,Classmate Octane Neon Blue Gel PensPack of 5Smooth Writing PenAttractive body colour for Boys  GirlsWaterproof ink for smudge free writingPreferred by Students for ExamStudy at home essential,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsGelInkRollerballPens,produtos de escritório,50,1,50,1,0,1,0,1,5 vibrant Neon body colorSmooth and fast writingJapanese waterproof inkCountry of Origin India
B00URH5E34,Inventis 5V 12W Portable Flexible USB LED Light Lamp Colors may vary,ComputersAccessoriesAccessoriesPeripheralsUSBGadgetsLamps,acessórios de computador,39,1,39,1,0,1,0,1,The side the LED light falls on will depend on your USB port orientation nonstandardizedThis product can twist and bend without breaking Use this to shine light as requiredRated Voltage 5V Rated Power 12W  Powered by any standard USB outlet car charger power bank laptop etcIdeal for lighting small areas inside your car as an alternative to your cabin lightYou might experience moderate heating from the LEDs  this is normal and wont damage the product
B00DJ5N9VK,FaberCastell Connector Pen Set  Pack of 25 Assorted,ToysGamesArtsCraftsDrawingPaintingSuppliesColouringPensMarkers,brinquedos e jogos,150,1,150,1,0,1,0,1,Simply draw and color or clip these pens together to construct interesting modelsContains 40 more ink and lasts longerChild safefoodgrade ink
B00VA7YYUO,Apsara Platinum Pencils Value Pack  Pack of 20,HomeKitchenCraftMaterialsDrawingMaterialsDrawingMediaPencilsWoodenPencils,casa e cozinha,99,1,99,1,0,1,0,1,Extra dark writing pencilsNo 1 recommended stationary by teachers for childrenDesigned to aid legibility
B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box  50 Shades,HomeKitchenCraftMaterialsPaintingMaterials,casa e cozinha,230,1,230,1,0,1,0,1,50 assorted shades  1 scraping toolConfirms to safety standard EN 71  3Camel Art Contest entry coupon inside the packBest result can be seen on Drawing Paper These colours can adhere easily to surfaces like textured paper sketching paper or even smooth tinted paperReusable Plastic Box
B00BN5SNF0,ENVIE AA10004PLNiCD AA Rechargeable Batteries Low Self Discharge AA 1000mAh NiCD Pack of 4,ElectronicsGeneralPurposeBatteriesBatteryChargersRechargeableBatteries,eletrônicos,250,1,250,1,0,1,0,1,Functional design International Standard universally compatible 4 pcs of rechargeable NiCd batteries Batteries needs to be charged before first useCapacityBest in Industry 1000mAh capacity batteries with no memory effect so they can be charged or discharged as needed without loss of capacityDischarge Batteries are equipped with low self discharge mechanism to hold charge upto 80 for 12 months without useCompatibility Envie AA Batteries are compatible with numerous devices including Remote Controls Electronic Toys Flashlights Torches and various other devices Batteries also support Quick Charge mechanism which can be done via any smart or quick chargerEnvironment friendlyEnvie batteries provide you a safe and stable highy protected environment friendly energy solution
B00LY17RHI,Camlin Elegante Fountain Pen  BlackBlueRed,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsFountainPens,produtos de escritório,225,1,225,1,0,1,0,1,Handcrafted with Gold plated nibBrass Cap Chrome bodyElegant design
B07VV37FT4,Classmate Octane Neon 25 Blue Gel Pens  Smooth Writing Pens Waterproof Ink For Smudgefree Writing Preferred By Students For Exam  Class Notes Study At Home Essential,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsGelInkRollerballPens,produtos de escritório,250,1,250,1,0,1,0,1,5 vibrant Neon body colorSmooth and fast writingJapanese waterproof inkStylish sculpted designCountry of Origin India
B0B4SJKRDF,Kitchenwell Multipurpose Portable Electronic Digital Weighing Scale Weight Machine  Weight Machine  10 Kg,HomeKitchenKitchenHomeAppliancesSmallKitchenAppliancesDigitalKitchenScalesDigitalScales,casa e cozinha,239,1,239,1,0,1,0,1,Package  1 Weighing ScaleEasy To UseDurable to use Convenient weighing unit switch data lock  Over load indication auto power off after 120 seconds without any operation Easy to UseLCD back light easy to read value at day and night
B099S26HWG,Classmate Pulse 1 Subject Notebook  240mm x 180mm  Soft Cover 180 Pages Single Line Pack of 4,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesCompositionNotebooks,produtos de escritório,300,1,300,1,0,1,0,1,The cover design of the notebook is subject to change it depends on stock availabilitySingle line notebook 180 pages spiral binding soft cover 240mm x180mmClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B07SBGFDX9,Pentonic Multicolor Ball Point Pen Pack of 10,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsStickBallpointPens,produtos de escritório,120,1,120,1,0,1,0,1,07 mm tip sizeBlack Body Multicolor InkBlack Red Green Pink Turquoise Blue Orange Blue Brown Purple Lime Green Pack of 10Easy flow Ink TechnologySleek Matte FinishFeatherlite feel
B0B4PPD89B,Kitchenwell 18Pc Plastic Food Snack Bag Pouch Clip Sealer for Keeping Food Fresh for Home Kitchen Camping Snack Seal Sealing Bag Clips MultiColor  Pack of 18,HomeKitchenKitchenHomeAppliancesSmallKitchenAppliancesVacuumSealers,casa e cozinha,79,1,79,1,0,1,0,1,Made in India Perfect for tightly sealing and storing all types of foods and snacks so that the food stays fresh and tastier for longerMULTIPURPOSE Can be used to seal all types of food bags and storages such as potato chips snack bags breads coffee bags and frozen food bags etcSEAL THE DEAL  They are fast and easy to use and their grip is very strong so you can rely on these clips to keep your bags perfectly sealed with minimum effort Its always good to have these sealing clippers in your kitchenPRACTICABILITY Convenient durable and reusable The Seal clips provide more choices to meet your different needs Enjoy your fresh food for long time and keep a healthier lifestyleContent  18 Pieces 3 size x 6 Pcs each
B08TDJNM3G,ECOSMOS 5V 12W Portable Flexible USB LED Light Colors May Vary Small  Set of 2 Pieces,ComputersAccessoriesAccessoriesPeripheralsUSBGadgetsLamps,acessórios de computador,59,1,59,1,0,1,0,1,Portable easy to useLED lights for maximum illuminationPlugs into any USB portMultipurpose Energy Use4Pcs of USB light
B095X38CJS,BRUSTRO Copytinta Coloured Craft Paper A4 Size 80 GSM Mixed Bright Colour 40 Sheets Pack 10 cols X 4 Sheets Double Side Color for Office Printing Art and Craft,OfficeProductsOfficePaperProductsPaperCopyPrintingPaperColouredPaper,produtos de escritório,99,1,99,1,0,1,0,1,Made at the renowned Fabriano paper mill in ItalyAcid free paperVibrant color palletteSoft surface80gsmIdeal for photocopies laser and inkjet prints fax dividers covers collages craft  punch craft suitable in particular for office and schools and all technical paper uses
B08BQ947H3,LIRAMARK Webcam Cover Slide Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet Pack of 3,ComputersAccessoriesAccessoriesPeripheralsLaptopAccessoriesCameraPrivacyCovers,acessórios de computador,149,1,149,1,0,1,0,1,Cool Gadget Protection against possible video surveillance from hackers This webcam cover slide easily slides over your camera ensuring that it wont be used as a surveillance tool against youUltrathin Super thin design perfect curve edges and extra mini size which means it can be perfectly combine with your devices Webcam Cover is only 0027 inches thick and does not feel its existence when the laptop lid is closedUniversal Design Webcam Cover is compatible with most Laptop Computer Smartphones iPadiphone MacBook MacBook Pro Tablets PC PS4 and allinone desktops Many pieces package meet your all cameras needSuper Sturdy Adhesive Solid durable because the strong Nano gel provides durable and reliable connection between your devices and webcam cover Also the adhesive can be easily applied and removed from the device without any tracesEasy to Install Use a dry cloth to clean the surface of your devices webcam then remove the 3M adhesive tape from the back of the camera cover Slide align the lens and attach the protective cover to the lens and firmly press for 15 seconds to achieve a strong but nonpermanent seal
B08TDJ5BVF,ECOSMOS 5V 12W Portable Flexible USB LED Light Colours May Vary Small ECPOF1,ComputersAccessoriesAccessoriesPeripheralsUSBGadgetsLamps,acessórios de computador,39,1,39,1,0,1,0,1,The side the LED light falls on will depend on your USB port orientation nonstandardizedThis product can twist and bend without breaking Use this to shine light as requiredRated Voltage 5V Rated Power 12W  Powered by any standard USB outlet car charger power bank laptop etcIdeal for lighting small areas inside your car as an alternative to your cabin lightYou might experience moderate heating from the LEDs  this is normal and wont damage the product
B00LM4X0KU,Parker Quink Ink Bottle Blue,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsBottledInk,produtos de escritório,100,1,100,1,0,1,0,1,Blue colour is washable in nature30ml BottleHigh quality ink
B00LZLQ624,Classmate Soft Cover 6 Subject Spiral Binding Notebook Single Line 300 Pages,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,157,1,160,1,"0,02",1,3,1,The cover design of the notebook is subject to change it depends on stock availability6 subject notebooksingle line 300 pages spiral binding soft cover 297mm210mmSix subjects one notebook only the best from classmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B00P93X6EK,Classmate Soft Cover 6 Subject Spiral Binding Notebook Unruled 300 Pages,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,157,1,160,1,"0,02",1,3,1,The cover design of the notebook is subject to change it depends on stock availability6 subject notebookunruled 300 pages spiral binding soft cover 297mm210mmSix subjects one notebook only the best from classmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B00P93X0VO,Classmate Pulse 6 Subject Notebook  Unruled 300 Pages Spiral Binding 240mm180mm,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,114,1,120,1,"0,05",1,6,1,The cover design of the notebook is subject to change it depends on stock availability6 Subject NotebookUnruled 300 Pages Spiral Binding Soft Cover 240mm180mmSix subjects One notebook Only the best from ClassmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
